,Date,Algo 1,Algo 2
101,2014-10-20,0.0050372944301364,0.0048969519898538
102,2014-10-21,0.0214179299976354,0.0108151476180679
103,2014-10-22,0.0010178626446067,-0.0094790944687638
104,2014-10-23,-0.0043274907441905,0.0099673480072783
105,2014-10-24,-0.0027091679821163,0.0041003422550498
106,2014-10-27,-0.0064178132748214,-0.0031924535525267
107,2014-10-28,-0.0092678948833682,0.0211330427029878
108,2014-10-29,0.0055233230595658,-0.0033143369217443
109,2014-10-30,-0.0099404597049154,0.0127657000080374
110,2014-10-31,0.004943082658218,0.0058876587343639
111,2014-11-03,-0.0058077266125354,-0.0019695073333629
112,2014-11-04,-0.0079112545542574,-0.0021844261974631
113,2014-11-05,0.0051019778014252,0.0004734688562358
114,2014-11-06,-0.0014468461483129,0.0016594144976117
115,2014-11-07,0.0166861272280394,0.0006036195253431
